15, 20.153373, 1735265747
21, 20.153373, 1735265747
37, 20.153373, 1735265747
132, 20.153373, 1735265747
142, 20.153373, 1735265747
15, 19.910754, 1735265748
15, 20.061748, 1735265749
37, 19.910754, 1735265749
21, 19.910754, 1735265750
15, 19.830387, 1735265750
132, 19.910754, 1735265750
142, 19.910754, 1735265750
15, 20.036661, 1735265751
37, 20.061748, 1735265751
15, 20.013996, 1735265752
21, 20.061748, 1735265753
37, 19.830387, 1735265753
132, 20.061748, 1735265753
142, 20.061748, 1735265753
15, 19.898025, 1735265753
15, 19.700121, 1735265754
37, 20.036661, 1735265755
15, 19.773537, 1735265755
21, 19.830387, 1735265756
132, 19.830387, 1735265756
142, 19.830387, 1735265756
15, 19.754845, 1735265756
37, 20.013996, 1735265757
15, 19.624137, 1735265757
15, 19.749152, 1735265758
